                          	0	 0.000000 %
                  amethyst	1	 0.000222 %
                  alleluia	3	 0.000667 %
                armageddon	1	 0.000222 %
                   accuser	1	 0.000222 %
                 ascendeth	1	 0.000222 %
                  apollyon	1	 0.000222 %
                   abaddon	1	 0.000222 %
                   antipas	1	 0.000222 %
                admiration	2	 0.000445 %
             acknowledgeth	1	 0.000222 %
               antichrists	1	 0.000222 %
                antichrist	4	 0.000889 %
                  advocate	1	 0.000222 %
               authorities	1	 0.000222 %
                  availeth	1	 0.000222 %
                acceptably	1	 0.000222 %
                 accepting	1	 0.000222 %
                  assaying	1	 0.000222 %
                accounting	1	 0.000222 %
             accomplishing	1	 0.000222 %
                    anchor	1	 0.000222 %
                 accompany	1	 0.000222 %
                    afresh	1	 0.000222 %
                 archippus	1	 0.000222 %
                    apphia	1	 0.000222 %
                     adorn	1	 0.000222 %
             acknowledging	3	 0.000667 %
                 appearing	4	 0.000889 %
                   admired	1	 0.000222 %
                 archangel	1	 0.000222 %
               admonishing	1	 0.000222 %
           acknowledgement	1	 0.000222 %
                      ages	1	 0.000222 %
                    access	1	 0.000222 %
                    aliens	2	 0.000445 %
                affections	1	 0.000222 %
                      agar	1	 0.000222 %
                    affect	1	 0.000222 %
                    addeth	1	 0.000222 %
                 apprehend	2	 0.000445 %
              administered	2	 0.000445 %
                 approving	1	 0.000222 %
              acknowledged	1	 0.000222 %
                 aboundeth	2	 0.000445 %
                  anathema	1	 0.000222 %
                  achaicus	1	 0.000222 %
                  addicted	1	 0.000222 %
               advantageth	1	 0.000222 %
                admonition	2	 0.000445 %
                   abusers	1	 0.000222 %
                   apollos	4	 0.000889 %
                     avoid	1	 0.000222 %
               aristobulus	1	 0.000222 %
                    assist	1	 0.000222 %
                  admonish	2	 0.000445 %
                  alloweth	1	 0.000222 %
                 attending	1	 0.000222 %
                      abba	2	 0.000445 %
                  adoption	4	 0.000889 %
                    abound	7	 0.001556 %
                     adams	1	 0.000222 %
                    affirm	3	 0.000667 %
                  abounded	5	 0.001111 %
                  accusing	1	 0.000222 %
                 affection	3	 0.000667 %
                   apostle	18	 0.004001 %
                     appii	1	 0.000222 %
                   aground	1	 0.000222 %
                   anchors	2	 0.000445 %
                     adria	1	 0.000222 %
                   advised	1	 0.000222 %
                   agrippa	3	 0.000667 %
                  appealed	3	 0.000667 %
                    appeal	1	 0.000222 %
                     allow	1	 0.000222 %
                antipatris	1	 0.000222 %
            accomplishment	1	 0.000222 %
                    agabus	1	 0.000222 %
                    aboard	1	 0.000222 %
               afflictions	9	 0.002001 %
                   arrived	1	 0.000222 %
               aristarchus	3	 0.000667 %
                    achaia	8	 0.001778 %
                    aquila	1	 0.000222 %
                areopagite	1	 0.000222 %
                    athens	2	 0.000445 %
                 assaulted	1	 0.000222 %
                  attended	1	 0.000222 %
                   abstain	3	 0.000667 %
                   attalia	1	 0.000222 %
                  affected	1	 0.000222 %
               apprehended	2	 0.000445 %
               accompanied	3	 0.000667 %
                 almsdeeds	1	 0.000222 %
                   ananias	2	 0.000445 %
              alexandrians	1	 0.000222 %
                   antioch	11	 0.002445 %
                 amazement	2	 0.000445 %
                     ankle	1	 0.000222 %
                      alms	6	 0.001334 %
                  approved	5	 0.001111 %
                      asia	15	 0.003334 %
               apostleship	3	 0.000667 %
                  aceldama	1	 0.000222 %
                     annas	1	 0.000222 %
                  accusers	6	 0.001334 %
                  accuseth	1	 0.000222 %
                arimathaea	1	 0.000222 %
                  affirmed	3	 0.000667 %
                   absence	2	 0.000445 %
                 acceptest	1	 0.000222 %
                   austere	2	 0.000445 %
                    abased	1	 0.000222 %
                 ambassage	1	 0.000222 %
               approacheth	1	 0.000222 %
                  apostles	30	 0.006668 %
                      addi	1	 0.000222 %
                   abilene	1	 0.000222 %
                      aser	1	 0.000222 %
                  augustus	4	 0.000889 %
                 alexander	4	 0.000889 %
                   agreeth	2	 0.000445 %
                    agreed	2	 0.000445 %
                 alabaster	2	 0.000445 %
                 answering	6	 0.001334 %
                     afoot	2	 0.000445 %
                       ado	1	 0.000222 %
                    adjure	3	 0.000667 %
                     anise	1	 0.000222 %
                     agree	3	 0.000667 %
                adulterous	2	 0.000445 %
                      anon	1	 0.000222 %
                    accuse	12	 0.002667 %
                  alphaeus	3	 0.000667 %
                    andrew	8	 0.001778 %
                     achim	2	 0.000445 %
                      azor	1	 0.000222 %
                     achaz	2	 0.000445 %
